stdr_ym,kbc_bzc_nm_1,kbc_bzc_nm_2,kbc_bzc_nm_3,card_sales,est_sales,gid
202305,소매업,의류,일반의류(기타),917500,12885,다바991481
202305,소매업,의약/의료기기,한약방,350000,7280,다바988479
202305,기타,도매,기계도매,678200,35939,다바986485
202305,소매업,의류,여성의류,144500,3415,다바989479
202305,소매업,의류,일반의류(기타),2042000,26931,다바990480
202305,소매업,가정용품,주방용품,2535000,83848,다바990490
202305,음식,일식,일식전문점,1543000,9633,다바985494
202305,서비스,의료서비스,치과,3033300,76174,다바991480
202305,소매업,가구,일반가구,640000,35717,다바987479
202305,소매업,의류,일반의류(기타),7682000,61036,다바991484
202305,소매업,건축/인테리어,지물및천막,65900,2577,다바985482
202305,소매업,의류,일반의류(기타),260000,3453,다바991483
202305,서비스,여가/오락서비스,일반노래방,454000,5158,다바989482
202305,소매업,의류,일반의류(기타),216000,3280,다바990478
202305,음식,한식,일반한식/백반,791000,11233,다바993482
202305,서비스,의료서비스,치과,964900,15764,다바991492
202305,소매업,의류,속옷/내의,968300,10357,다바987484
202305,소매업,건축/인테리어,욕실/인테리어,165000,4303,다바985496
202305,서비스,의료서비스,치과,5683600,85325,다바992477
202305,서비스,생활편의서비스,인쇄업,5000000,100289,다바992494
202305,소매업,패션잡화,귀금속전문점,7519000,81585,다바990484
202305,소매업,가정용품,커튼/침구,650000,19071,다바989481
202305,서비스,의료서비스,한의원,2768200,40192,다바990492
202305,소매업,패션잡화,귀금속전문점,931200,13588,다바990483
202305,소매업,의약/의료기기,약국,2848100,86331,다바989488
202305,서비스,의료서비스,한의원,763000,27898,다바990490
202305,서비스,의료서비스,일반종합병원,3015000,,다바990494
202305,소매업,차량판매,오토바이,741000,10389,다바985481
202305,소매업,의류,속옷/내의,2106100,40241,다바990484
202305,서비스,생활편의서비스,다이어트/피부관리,400000,0,다바990485
202305,소매업,의약/의료기기,약국,1455700,35317,다바991492
202305,서비스,의료서비스,한의원,379500,12695,다바992490
202305,소매업,건축/인테리어,조명기구/전기용품,10000,477,다바986482
202305,서비스,생활편의서비스,인쇄업,33000,,다바994481
202305,음식,한식,일반한식/백반,586000,7726,다바989482
202305,서비스,의료서비스,한의원,29900,1212,다바991480
202305,서비스,의료서비스,치과,907400,43063,다바987487
202305,음식,한식,일반한식/백반,498000,6477,다바990491
202305,음식,한식,삼계탕/백숙전문점,3059000,26575,다바991490
202305,서비스,생활편의서비스,인쇄업,1266900,25411,다바991491
202305,서비스,의료서비스,정신건강의학과,633200,28939,다바992477
202305,서비스,의료서비스,내과,70800,3030,다바991493
202305,서비스,의료서비스,내과,458700,17224,다바989481
202305,서비스,의료서비스,일반의원,1377400,40604,다바991483
202305,서비스,의료서비스,일반의원,1060800,36058,다바989495
202305,소매업,의류,속옷/내의,435800,9725,다바988480
202305,서비스,의료서비스,내과,318000,12274,다바991481
202305,서비스,의료서비스,이비인후과,422570,14763,다바991482
202305,서비스,의료서비스,내과,2471800,80972,다바986486
202305,서비스,의료서비스,정신건강의학과,277900,11116,다바992481
202305,소매업,의류,속옷/내의,2406000,45343,다바987484
202305,음식,중식,일반중국음식전문점,304000,2949,다바984481
202305,소매업,사무/문구용품,문구용품,1022700,16944,다바987485
202305,소매업,의류,스포츠의류,3376000,38829,다바990485
202305,소매업,의류,일반의류(기타),2370000,29216,다바990485
202305,소매업,의류,한복/민속옷,520000,15369,다바989481
202305,소매업,차량판매,오토바이,3955000,58674,다바993484
202305,소매업,패션잡화,운동화/샌들/캐쥬얼화,1544000,20374,다바987487
202305,소매업,화장품/미용,미용재료,597500,15911,다바988487
202305,소매업,화장품/미용,미용재료,1762500,69322,다바988487
202305,서비스,의료서비스,치과,1209900,28668,다바991478
202305,소매업,화초 및 식물 소매,꽃집/꽃배달,10592480,,다바991479
202305,서비스,의료서비스,내과,3791370,128245,다바991477
202305,서비스,의료서비스,치과,4229800,55714,다바988486
202305,서비스,의료서비스,치과,5190800,68620,다바991486
202305,서비스,의료서비스,내과,850200,32962,다바992482
202305,서비스,생활편의서비스,다이어트/피부관리,45000,1056,다바991482
202305,서비스,의료서비스,치과,727200,8142,다바992482
202305,음식,한식,일반한식/백반,1132000,10435,다바991483
202305,음식,일식,일식전문점,4255000,39057,다바986493
202305,소매업,패션잡화,잡화점,909000,29198,다바989486
202305,기타,도매,기계도매,53000,795,다바985483
202305,서비스,의료서비스,일반외과,1199100,47567,다바992479
202305,소매업,의류,한복/민속옷,440000,13004,다바989481
202305,소매업,건강식품,건강식품,439000,7116,다바990477
202305,소매업,서적,전문서적,149900,4022,다바988491
202305,소매업,의류,일반의류(기타),601000,9121,다바990480
202305,소매업,화초 및 식물 소매,꽃집/꽃배달,95000,2340,다바991494
202305,음식,한식,일반한식/백반,206000,2458,다바991481
202305,서비스,여가/오락서비스,모텔/여관/여인숙,150000,1388,다바985483
202305,음식,한식,일반한식/백반,1305000,12469,다바989483
202305,소매업,음식료품소매,농산물,152000,4520,다바986480
202305,소매업,취미-미술,화방/화랑,1570600,17971,다바991482
202305,소매업,운동/레져용품,종합체육사,722000,10406,다바990479
202305,소매업,건축/인테리어,조명기구/전기용품,3698500,92707,다바985496
202305,서비스,여가/오락서비스,여행사,1500000,,다바989493
202305,기타,도매,기계도매,331100,15358,다바985482
202305,소매업,의약/의료기기,약국,2509290,47610,다바990484
202305,음식,한식,불고기전문점,1074000,12174,다바990482
202305,소매업,의류,일반의류(기타),1292300,21908,다바990485
202305,소매업,가정용품,커튼/침구,19000,558,다바988478
202305,음식,중식,일반중국음식전문점,1014000,9760,다바992490
202305,음식,한식,횟집,405000,4140,다바986484
202305,소매업,패션잡화,액세서리,6279000,53877,다바989485
202305,소매업,운동/레져용품,종합체육사,45000,648,다바988492
202305,소매업,건축/인테리어,조명기구/전기용품,15400,736,다바985481
202305,기타,도매,기계도매,9908350,138825,다바986484
202305,소매업,화초 및 식물 소매,꽃집/꽃배달,708000,11254,다바988484
202305,소매업,사무/문구용품,사무용품,1563750,30913,다바991495
202305,음식,한식,일반한식/백반,162000,2340,다바989491
202305,소매업,의류,일반의류(기타),150000,3889,다바989485
202305,서비스,여가/오락서비스,여행사,5000000,,다바991486
202305,서비스,의료서비스,한의원,21200,858,다바987486
202305,소매업,가전제품,휴대폰매장,5000,,다바988485
202305,기타,도매,기계도매,253000,9900,다바986481
202305,서비스,생활편의서비스,사진관,350000,8952,다바991484
202305,음식,패스트푸드,치킨전문점,5542000,48552,다바989482
202305,소매업,의약/의료기기,약국,305000,7795,다바991480
202305,음식,한식,생선탕전문점,540500,3789,다바991495
202305,소매업,사무/문구용품,문구용품,5422885,109313,다바989491
202305,소매업,화장품/미용,원브랜드숍,950200,8755,다바987482
202305,소매업,의약/의료기기,약국,3006500,55995,다바988492
202305,소매업,음식료품소매,수산물,2116500,83798,다바989477
202305,소매업,가정용품,커튼/침구,24000,703,다바989478
202305,소매업,가정용품,커튼/침구,266000,7804,다바990479
202305,소매업,의류,여성의류,105000,2675,다바990489
202305,소매업,의류,일반의류(기타),267000,4639,다바991483
202305,음식,양식,종합양식,567500,9339,다바990485
202305,소매업,건축/인테리어,열쇠/철물점,63140,3438,다바986481
202305,소매업,의류,일반의류(기타),247000,3664,다바989478
202305,소매업,의약/의료기기,안경점,1456000,11087,다바990483
202305,소매업,가구,사무용가구,1999900,86130,다바986479
202305,소매업,건축/인테리어,열쇠/철물점,770550,31098,다바985484
202305,서비스,생활편의서비스,미용실,200000,1302,다바990483
202305,소매업,운동/레져용품,종합체육사,5346000,43726,다바992482
202305,소매업,음식료품소매,식료품,693800,19990,다바986484
202305,음식,커피/음료,커피전문점,2500,21,다바991483
202305,소매업,의류,일반의류(기타),199000,3014,다바989484
202305,소매업,화장품/미용,미용재료,587000,18411,다바990482
202305,소매업,가정용품,주방용품,623300,38688,다바990477
202305,소매업,의류,남성정장/양복,3389000,31384,다바989479
202305,소매업,운동/레져용품,등산용품/의류,261000,6264,다바990479
202305,소매업,가정용품,주방용품,1701500,54830,다바990478
202305,음식,한식,해장국/감자탕,4646500,38087,다바986479
202305,소매업,건축/인테리어,열쇠/철물점,1544950,49633,다바985483
202305,소매업,화장품/미용,원브랜드숍,251000,4557,다바991481
202305,소매업,건축/인테리어,열쇠/철물점,240300,9700,다바989488
202305,서비스,여가/오락서비스,일반노래방,135000,1534,다바991492
202305,서비스,의료서비스,일반의원,787900,39317,다바992483
202305,소매업,화초 및 식물 소매,꽃집/꽃배달,65000,1599,다바990496
202305,서비스,생활편의서비스,미용실,444000,3854,다바993481
202305,소매업,패션잡화,잡화점,77000,2366,다바986481
202305,음식,기타외국식,기타동남아식전문점,2899990,31329,다바987486
202305,음식,한식,일반한식/백반,307000,4112,다바992482
202305,소매업,화장품/미용,원브랜드숍,4988600,35923,다바990482
202305,소매업,패션잡화,잡화점,90000,1031,다바988481
202305,음식,한식,일반한식/백반,15500,208,다바993490
202305,음식,한식,일반한식/백반,339000,4422,다바990480
202305,소매업,종합소매,편의점,9384580,78859,다바989488
202305,소매업,가전제품,사무용기기,117700,4051,다바991492
202305,소매업,가정용품,커튼/침구,121000,3169,다바990479
202305,음식,한식,국수/칼국수전문점,3047000,26697,다바991495
202305,음식,한식,일반한식/백반,1555000,20895,다바993480
202305,소매업,의류,속옷/내의,901100,18682,다바990479
202305,기타,기업,건축/건설/설비,71500,2894,다바985481
202305,소매업,건축/인테리어,열쇠/철물점,360800,19894,다바992495
202305,소매업,건축/인테리어,열쇠/철물점,3388330,,다바986483
202305,소매업,의류,유아복,898200,12384,다바990484
202305,소매업,의류,한복/민속옷,1961000,16702,다바990478
202305,음식,한식,삼겹살/구이전문점,1151000,12808,다바986484
202305,서비스,생활편의서비스,사진관,155800,3651,다바991492
202305,기타,도매,기계도매,36000,539,다바985479
202305,서비스,생활편의서비스,미용실,35000,304,다바991480
202305,소매업,의류,한복/민속옷,350000,7389,다바989481
202305,소매업,가정용품,커튼/침구,512000,16841,다바990478
202305,음식,한식,보신탕전문점,306000,4376,다바986481
202305,소매업,차량부품,자동차부품,2070000,116750,다바986494
202305,소매업,의류,캐쥬얼,6155300,44411,다바989486
202305,소매업,의약/의료기기,약국,1913700,44731,다바986486
202305,소매업,가정용품,커튼/침구,598000,17544,다바989478
202305,소매업,패션잡화,구두제화,400000,12813,다바987484
202305,소매업,의약/의료기기,약국,818200,22734,다바991481
202305,소매업,의류,여성의류,2064000,25789,다바990485
202305,음식,간이주점,호프/맥주,260000,2905,다바991480
202305,소매업,의류,옷감/직물/수예,622950,6896,다바988486
202305,서비스,생활편의서비스,다이어트/피부관리,380000,8917,다바991485
202305,소매업,화장품/미용,원브랜드숍,52000,544,다바989485
202305,음식,한식,일반한식/백반,272000,3927,다바993487
202305,소매업,음식료품소매,축산물,1758700,26530,다바991478
202305,소매업,가정용품,커튼/침구,2200000,64546,다바990480
202305,음식,한식,일반한식/백반,756000,11176,다바989489
202305,소매업,건축/인테리어,욕실/인테리어,10070000,,다바985482
202305,소매업,가정용품,주방용품,207500,9971,다바988478
202305,소매업,운동/레져용품,종합체육사,168000,,다바990485
202305,음식,한식,설렁탕/곰탕전문점,973000,8933,다바990478
202305,소매업,가정용품,커튼/침구,1122000,21124,다바989477
202305,소매업,가정용품,주방용품,638500,32186,다바988489
202305,소매업,건강식품,건강식품,120000,2411,다바989477
202305,소매업,음식료품소매,농산물,134400,3997,다바989478
202305,음식,제과/제빵,찐빵전문점,2777000,25857,다바990482
202305,소매업,건축/인테리어,열쇠/철물점,1315000,53074,다바986486
202305,소매업,기념품/공예품/골동품,관광기념품,2056500,73926,다바990483
202305,소매업,의약/의료기기,약국,1449200,37591,다바991477
202305,서비스,생활편의서비스,미용실,80000,694,다바991484
202305,소매업,패션잡화,잡화점,28000,857,다바990478
202305,기타,도매,기계도매,62700,,다바986483
202305,소매업,가정용품,커튼/침구,259000,7599,다바991481
202305,서비스,생활편의서비스,미용실,26000,226,다바991481
202305,서비스,생활편의서비스,미용실,882000,6586,다바991486
202305,음식,한식,해장국/감자탕,325000,4462,다바994482
202305,소매업,의류,교복,1017000,8010,다바992479
202305,기타,도매,식품도매,339400,,다바988490
202305,소매업,의류,일반의류(기타),2042000,24956,다바987485
202305,서비스,교육서비스,피부미용학원,36000,426,다바990490
202305,음식,중식,일반중국음식전문점,3068000,23591,다바992482
202305,서비스,생활편의서비스,미용실,619000,5703,다바990485
202305,서비스,여가/오락서비스,모텔/여관/여인숙,129000,1193,다바985481
202305,서비스,교육서비스,서예/미술학원,601000,10472,다바990485
202305,소매업,의류,일반의류(기타),160000,4150,다바991484
202305,소매업,의류,캐쥬얼,5926000,51055,다바990484
202305,서비스,의료서비스,내과,937500,28533,다바991477
202305,음식,제과/제빵,제과점,465400,10524,다바990489
202305,서비스,생활편의서비스,세탁소/빨래방,98000,2012,다바990479
202305,소매업,건축/인테리어,인테리어자재,123200,6344,다바991493
202305,소매업,가전제품,사무용기기,110000,3385,다바987493
202305,소매업,사무/문구용품,사무용품,170000,5231,다바991489
202305,소매업,의류,일반의류(기타),17000,183,다바989478
202305,소매업,의류,일반의류(기타),183000,4746,다바990478
202305,서비스,생활편의서비스,인쇄업,258500,4414,다바992492
202305,소매업,가전제품,컴퓨터/주변기기,34320,4166,다바992494
202305,음식,한식,일반한식/백반,600000,8062,다바987483
202305,소매업,의류,일반의류(기타),219000,2907,다바990478
202305,서비스,의료서비스,치과,788400,22299,다바992478
202305,소매업,의류,일반의류(기타),170000,2257,다바987484
202305,소매업,음식료품소매,축산물,685200,21427,다바991478
202305,소매업,패션잡화,가방전문점,6000,192,다바990490
202305,소매업,건축/인테리어,욕실/인테리어,30800,1364,다바987479
202305,소매업,의류,일반의류(기타),1765000,51155,다바991482
202305,음식,한식,옻닭전문점,2048000,18401,다바985497
202305,소매업,패션잡화,운동화/샌들/캐쥬얼화,186000,5274,다바991477
202305,소매업,의약/의료기기,약국,532800,13496,다바993477
202305,서비스,(정기)납부/대여서비스,미디어/음향,171400,5878,다바992483
202305,소매업,음식료품소매,식료품,465300,20229,다바990476
202305,음식,간이주점,기타주점/포장마차,5714008,43987,다바989483
202305,소매업,의약/의료기기,약국,422300,11713,다바987487
202305,기타,도매,기계도매,111000,,다바986496
202305,소매업,의류,일반의류(기타),888700,25927,다바990482
202305,서비스,생활편의서비스,사진관,252000,6036,다바990486
202305,소매업,의약/의료기기,안경점,558000,5006,다바990483
202305,소매업,건축/인테리어,열쇠/철물점,1285700,54022,다바986484
202305,소매업,가전제품,사무용기기,178480,5842,다바989494
202305,기타,기업,제조관련업,1549790,52419,다바986483
202305,음식,한식,국수/칼국수전문점,2365000,22341,다바989486
202305,소매업,건축/인테리어,조명기구/전기용품,889680,43070,다바985483
202305,소매업,종합소매,대형마트/할인점,248470010,,다바987487
202305,소매업,의류,일반의류(기타),110000,2852,다바991482
202305,음식,일식,일식전문점,1174000,13706,다바989483
202305,음식,한식,일반한식/백반,7561000,,다바989483
202305,서비스,생활편의서비스,인쇄업,2250000,44026,다바992492
202305,소매업,기타용품,종교용품,1017000,63114,다바992478
202305,소매업,의약/의료기기,약국,87500,3324,다바992491
202305,서비스,생활편의서비스,세탁소/빨래방,80000,1643,다바986481
202305,소매업,의류,한복/민속옷,384000,11645,다바990478
202305,서비스,생활편의서비스,미용실,65000,0,다바990490
202305,소매업,의류,일반의류(기타),200000,5186,다바989481
202305,서비스,의료서비스,마취통증의학과,1667500,53497,다바992477
202305,소매업,가정용품,주방용품,460100,27224,다바990478
202305,소매업,패션잡화,운동화/샌들/캐쥬얼화,33000,1056,다바987480
202305,기타,기업,이벤트/마케팅,37000,739,다바991489
202305,소매업,의류,캐쥬얼,401000,5348,다바988486
202305,서비스,교육서비스,서예/미술학원,850000,13847,다바988489
202305,소매업,가전제품,컴퓨터/주변기기,192500,23368,다바992484
202305,음식,한식,국수/칼국수전문점,68500,959,다바986495
202305,소매업,의류,일반의류(기타),453000,8138,다바990478
202305,소매업,서적,종합서점,208800,5599,다바990489
202305,소매업,건축/인테리어,보일러/냉난방용품,1298000,,다바985483
202305,음식,커피/음료,커피전문점,7000,58,다바987487
202305,음식,한식,국수/칼국수전문점,163000,2285,다바991495
202305,음식,패스트푸드,치킨전문점,1846000,18263,다바989489
202305,음식,한식,일반한식/백반,1839000,17887,다바991490
202305,소매업,종합소매,종합생활용품,827580,58361,다바987484
202305,음식,한식,일반한식/백반,1141000,12912,다바991494
202305,소매업,종합소매,슈퍼마켓,4913920,107641,다바990489
202305,음식,한식,설렁탕/곰탕전문점,1199000,16957,다바990490
202305,음식,제과/제빵,제과점,8655000,97204,다바988489
202305,소매업,건축/인테리어,인테리어자재,182160,6893,다바985483
202305,서비스,의료서비스,내과,1122200,35430,다바992477
202305,소매업,건축/인테리어,열쇠/철물점,127000,2592,다바988481
202305,음식,한식,일반한식/백반,119000,3131,다바991496
202305,소매업,의류,일반의류(기타),2300000,30537,다바991484
202305,음식,한식,생선탕전문점,1557000,11991,다바988490
202305,소매업,건축/인테리어,조명기구/전기용품,943250,26572,다바986479
202305,음식,한식,삼겹살/구이전문점,687000,6322,다바986485
202305,소매업,의류,스포츠의류,846000,11282,다바990484
202305,소매업,의류,일반의류(기타),473000,4554,다바989478
202305,서비스,생활편의서비스,미용실,1826800,87815,다바992482
202305,음식,커피/음료,커피전문점,784900,6708,다바990483
202305,소매업,운동/레져용품,종합체육사,2453100,28668,다바990481
202305,소매업,의류,일반의류(기타),2097000,28493,다바991483
202305,소매업,서적,종합서점,325000,8715,다바990492
202305,소매업,가정용품,커튼/침구,75000,2201,다바989477
202305,서비스,(정기)납부/대여서비스,미디어/음향,235000,7417,다바990478
202305,음식,한식,국밥전문점,430000,6197,다바990491
202305,음식,한식,일반한식/백반,953200,12283,다바988487
202305,소매업,가정용품,주방용품,74000,1245,다바989478
202305,서비스,의료서비스,치과,3030000,89804,다바990481
202305,음식,간이주점,기타주점/포장마차,298000,2562,다바992479
202305,소매업,의류,일반의류(기타),242000,7572,다바989478
202305,음식,한식,민물장어전문점,1731000,18851,다바990497
202305,서비스,생활편의서비스,인쇄업,225000,4454,다바992484
202305,소매업,의류,일반의류(기타),245000,3453,다바990479
202305,소매업,가전제품,종합가전제품,7874000,,다바990481
202305,음식,한식,보쌈전문점,3395000,25977,다바991484
202305,음식,중식,일반중국음식전문점,1979000,16157,다바991492
202305,음식,한식,냉면전문점,3808000,35770,다바989493
202305,기타,도매,기계도매,800000,31302,다바988478
202305,소매업,음식료품소매,수산물,1852000,50753,다바990476
202305,음식,한식,일반한식/백반,413000,5662,다바992494
202305,음식,한식,홍어전문점,483000,3282,다바991497
202305,음식,한식,불고기전문점,390000,4606,다바989479
202305,소매업,가구,일반가구,2500000,43824,다바987479
202305,소매업,화장품/미용,원브랜드숍,4178150,47205,다바990486
202305,소매업,의약/의료기기,한약방,92000,2182,다바989477
202305,소매업,패션잡화,귀금속전문점,809000,22938,다바987487
202305,서비스,의료서비스,치과,6321800,62085,다바989487
202305,소매업,가정용품,커튼/침구,242000,7101,다바989477
202305,소매업,의류,일반의류(기타),65000,1685,다바991480
202305,소매업,의류,일반의류(기타),7111000,59580,다바989487
202305,소매업,의류,일반의류(기타),27500,365,다바990490
202305,서비스,생활편의서비스,인쇄업,18000,362,다바991481
202305,음식,한식,일반한식/백반,110000,1882,다바993480
202305,소매업,의약/의료기기,약국,2343900,69887,다바988487
202305,음식,한식,냉면전문점,4396000,40479,다바988485
202305,소매업,의류,일반의류(기타),378000,8770,다바988486
202305,소매업,패션잡화,귀금속전문점,1490000,14452,다바988484
202305,소매업,건축/인테리어,욕실/인테리어,697000,27970,다바985479
202305,소매업,의약/의료기기,약국,1026060,26760,다바992482
202305,소매업,가전제품,사무용기기,44000,21326,다바988493
202305,소매업,연료소매,주유소,18474778,196405,다바991491
202305,서비스,교육서비스,서예/미술학원,700000,8294,다바991483
202305,소매업,의약/의료기기,안경점,3679000,27370,다바988487
202305,기타,기업,기타기업,434500,30490,다바985484
202305,소매업,패션잡화,귀금속전문점,100000,970,다바990481
202305,소매업,음식료품소매,반찬전문점,508000,13736,다바989478
202305,소매업,의류,캐쥬얼,4821600,,다바990482
202305,소매업,음식료품소매,축산물,372000,11049,다바990478
202305,음식,한식,횟집,312000,3599,다바986484
202305,소매업,패션잡화,액세서리,902000,11548,다바991485
202305,소매업,음식료품소매,수산물,258000,7254,다바991478
202305,음식,중식,일반중국음식전문점,1594000,16139,다바991483
202305,음식,한식,곱창/양구이전문점,1400000,13048,다바986484
202305,음식,한식,설렁탕/곰탕전문점,490500,6076,다바989491
202305,소매업,음식료품소매,축산물,4481500,65843,다바989477
202305,소매업,의류,속옷/내의,332500,7420,다바990478
202305,음식,한식,냉면전문점,156000,2040,다바987484
202305,소매업,의약/의료기기,약국,4986700,141032,다바991484
202305,소매업,운동/레져용품,종합체육사,3855000,29699,다바989486
202305,소매업,건축/인테리어,열쇠/철물점,112500,4541,다바991478
202305,서비스,의료서비스,일반의원,7742800,98366,다바992478
202305,음식,한식,찜닭전문점,1970000,20164,다바988486
202305,소매업,의류,일반의류(기타),101800,2639,다바990478
202305,소매업,의류,옷감/직물/수예,392900,8270,다바990479
202305,서비스,(비정기)전문서비스,부동산중개업,476500,9533,다바991480
202305,서비스,의료서비스,일반의원,367200,20017,다바991480
202305,소매업,음식료품소매,축산물,70000,2079,다바987486
202305,소매업,의류,일반의류(기타),202000,5678,다바988479
202305,서비스,교육서비스,요리학원,773000,9306,다바993478
202305,소매업,음식료품소매,농산물,140000,4165,다바990479
202305,소매업,건축/인테리어,조명기구/전기용품,149000,3345,다바988496
202305,소매업,건축/인테리어,조명기구/전기용품,51000,2437,다바985479
202305,소매업,의약/의료기기,의료기기/용품,2640000,52065,다바991477
202305,음식,한식,콩나물국밥전문점,4270000,37634,다바986485
202305,소매업,패션잡화,가방전문점,433000,12276,다바990478
202305,소매업,의류,일반의류(기타),118000,810,다바989478
202305,소매업,의약/의료기기,약국,12754800,463467,다바989487
202305,서비스,생활편의서비스,인쇄업,117000,2347,다바985497
202305,소매업,건강식품,건강식품,150000,3407,다바990477
202305,서비스,생활편의서비스,가정용품수리,3671000,28206,다바991491
202305,소매업,화초 및 식물 소매,꽃집/꽃배달,176000,4334,다바991485
202305,기타,도매,기계도매,303600,4554,다바985483
202305,음식,분식,종합분식,2247500,23466,다바989487
202305,음식,한식,일반한식/백반,432000,5038,다바987484
202305,음식,한식,삼겹살/구이전문점,4928000,37793,다바985496
202305,음식,한식,순대전문점,15272000,126481,다바991478
202305,소매업,사무/문구용품,사무용품,174100,5358,다바991489
202305,기타,도매,의약품도매,370530000,,다바993482
202305,음식,한식,곰장어전문점,2399000,19568,다바986484
202305,소매업,패션잡화,구두제화,245000,7847,다바990479
202305,소매업,의약/의료기기,안경점,934000,8378,다바988486
202305,소매업,건축/인테리어,욕실/인테리어,71500,2797,다바986484
202305,소매업,의류,아동복,668500,11151,다바990480
202305,음식,커피/음료,커피전문점,144400,1704,다바990482
202305,소매업,패션잡화,가발전문점,30000,851,다바989487
202305,소매업,패션잡화,액세서리,712000,11975,다바989487
202305,소매업,패션잡화,잡화점,40000,1229,다바991479
202305,소매업,건강식품,건강식품,481000,6655,다바990477
202305,소매업,건강식품,건강식품,90000,1907,다바988477
202305,음식,한식,순대전문점,1123500,15979,다바986484
202305,음식,한식,국수/칼국수전문점,2675000,28041,다바991490
202305,소매업,기타용품,상품권,3145040,,다바987487
202305,소매업,패션잡화,모자전문점,440000,12390,다바990479
202305,소매업,패션잡화,가방전문점,404000,11455,다바990483
202305,소매업,의류,일반의류(기타),154000,4642,다바990478
202305,음식,한식,일반한식/백반,1443000,12976,다바992481
202305,소매업,의류,일반의류(기타),17000,190,다바990482
202305,소매업,의류,한복/민속옷,10000,296,다바989477
202305,소매업,패션잡화,가방전문점,185000,5246,다바990478
202305,서비스,생활편의서비스,사진관,30000,768,다바992479
202305,소매업,의약/의료기기,보청기,160000,5714,다바991482
202305,음식,한식,보신탕전문점,2600000,23927,다바985496
202305,서비스,생활편의서비스,인쇄업,1458300,28257,다바992491
