gid,repo_2018,repo_2019,repo_2020,repo_2021,repo_2022
다바961524,0.0,7.0,29.0,6.0,17.0
다바993518,32.0,29.0,30.0,30.0,62.0
라바050624,0.0,0.0,0.0,0.0,0.0
라바147527,0.0,0.0,0.0,0.0,0.0
다바872561,1.0,0.0,2.0,0.0,0.0
다바950483,48.0,71.0,45.0,45.0,36.0
라바082569,1.0,0.0,0.0,0.0,0.0
다바937473,73.0,75.0,69.0,91.0,100.0
라바004484,30.0,51.0,44.0,36.0,26.0
라바021382,0.0,0.0,0.0,0.0,0.0
다바969437,4.0,0.0,0.0,0.0,0.0
다바931583,0.0,0.0,0.0,0.0,1.0
다바969392,0.0,5.0,0.0,0.0,0.0
다바980501,18.0,39.0,8.0,12.0,11.0
다바979488,7.0,48.0,7.0,9.0,12.0
다바961291,0.0,0.0,0.0,0.0,0.0
라바093581,0.0,2.0,3.0,2.0,0.0
라바171518,0.0,0.0,0.0,0.0,0.0
다바951291,0.0,0.0,1.0,3.0,0.0
다바941471,40.0,38.0,20.0,37.0,32.0
다바918440,0.0,0.0,0.0,0.0,1.0
다바925291,0.0,0.0,0.0,0.0,0.0
다바988526,24.0,17.0,8.0,7.0,16.0
다바986484,91.0,117.0,124.0,82.0,89.0
다바881507,0.0,0.0,1.0,0.0,0.0
라바138484,28.0,21.0,23.0,18.0,31.0
다바953362,1.0,0.0,0.0,0.0,0.0
다바875601,0.0,0.0,0.0,0.0,0.0
다바981397,0.0,0.0,0.0,0.0,1.0
다바962499,19.0,24.0,17.0,15.0,18.0
라바200471,0.0,0.0,0.0,0.0,0.0
라바176474,0.0,0.0,0.0,0.0,0.0
라바200472,0.0,0.0,0.0,0.0,1.0
다바945454,0.0,6.0,0.0,9.0,1.0
다바836447,1.0,1.0,0.0,1.0,0.0
라바070573,0.0,0.0,0.0,0.0,0.0
라바228457,0.0,0.0,0.0,2.0,0.0
다바972489,16.0,8.0,8.0,3.0,11.0
라바019404,0.0,0.0,0.0,0.0,0.0
다바962588,0.0,0.0,0.0,0.0,0.0
라바055523,1.0,0.0,0.0,0.0,2.0
다바947524,1.0,0.0,0.0,0.0,0.0
다바940482,33.0,34.0,35.0,30.0,29.0
라바002488,3.0,1.0,0.0,2.0,0.0
다바952470,47.0,44.0,41.0,64.0,46.0
라바098485,0.0,0.0,0.0,0.0,0.0
라바056523,0.0,2.0,0.0,0.0,0.0
다바985518,40.0,37.0,43.0,18.0,21.0
다바973536,0.0,0.0,0.0,0.0,0.0
라바009432,23.0,12.0,18.0,27.0,15.0
다바957468,4.0,5.0,1.0,5.0,9.0
다바947409,0.0,0.0,0.0,0.0,0.0
다바879566,0.0,0.0,0.0,0.0,0.0
라바089447,0.0,0.0,0.0,0.0,1.0
다바958614,0.0,0.0,0.0,1.0,1.0
라바029463,0.0,0.0,0.0,0.0,0.0
다바956618,0.0,0.0,2.0,1.0,0.0
다바855507,0.0,0.0,0.0,0.0,0.0
다바847585,2.0,0.0,0.0,0.0,2.0
라바186475,0.0,0.0,0.0,0.0,0.0
다바959418,2.0,1.0,0.0,0.0,1.0
다바832461,0.0,0.0,1.0,14.0,1.0
다바977490,0.0,4.0,3.0,4.0,4.0
다바984545,1.0,2.0,1.0,0.0,1.0
라바072567,2.0,1.0,0.0,2.0,2.0
라바000486,4.0,2.0,1.0,0.0,0.0
라바022438,0.0,0.0,0.0,0.0,0.0
라바074587,0.0,0.0,0.0,0.0,0.0
다바931454,1.0,2.0,3.0,3.0,0.0
라바031537,0.0,3.0,0.0,0.0,0.0
다바833500,3.0,0.0,0.0,2.0,0.0
다바953599,15.0,23.0,24.0,19.0,32.0
다바948474,27.0,63.0,15.0,19.0,18.0
다바964594,0.0,0.0,0.0,1.0,0.0
다바969475,31.0,43.0,25.0,29.0,37.0
다바956581,0.0,0.0,0.0,0.0,0.0
라바014474,24.0,22.0,15.0,13.0,33.0
라바013515,0.0,0.0,0.0,0.0,1.0
다바957466,24.0,29.0,19.0,11.0,9.0
다바912492,1.0,0.0,1.0,0.0,0.0
다바934568,41.0,27.0,31.0,49.0,38.0
다바853514,5.0,5.0,8.0,2.0,1.0
라바000391,0.0,2.0,0.0,0.0,1.0
라바050567,0.0,0.0,2.0,0.0,0.0
다바997519,114.0,169.0,121.0,125.0,148.0
라바021606,0.0,3.0,0.0,0.0,1.0
다바963466,15.0,11.0,8.0,9.0,16.0
다바937448,0.0,0.0,0.0,0.0,0.0
라바126519,0.0,2.0,1.0,0.0,1.0
다바998464,10.0,13.0,10.0,27.0,20.0
라바035355,0.0,0.0,0.0,0.0,0.0
다바924384,0.0,0.0,0.0,0.0,0.0
라바027457,1.0,1.0,0.0,2.0,2.0
다바958447,0.0,0.0,0.0,0.0,2.0
다바991475,20.0,21.0,12.0,15.0,8.0
다바953435,0.0,3.0,2.0,0.0,0.0
다바969538,0.0,0.0,0.0,0.0,0.0
다바985493,2.0,3.0,1.0,2.0,3.0
다바933476,265.0,241.0,299.0,406.0,644.0
다바967573,0.0,0.0,0.0,0.0,0.0
다바993479,57.0,49.0,65.0,31.0,32.0
다바885447,0.0,0.0,1.0,0.0,0.0
라바035520,1.0,0.0,0.0,0.0,0.0
다바917310,0.0,0.0,0.0,0.0,0.0
라바060518,0.0,0.0,3.0,0.0,0.0
라바011324,2.0,0.0,2.0,1.0,0.0
다바968529,3.0,4.0,3.0,2.0,2.0
다바971396,0.0,0.0,0.0,0.0,0.0
다바904449,0.0,0.0,0.0,0.0,0.0
다바925566,25.0,12.0,10.0,25.0,28.0
라바032585,22.0,26.0,23.0,36.0,40.0
라바068421,4.0,1.0,1.0,1.0,2.0
다바913492,0.0,0.0,0.0,0.0,0.0
다바932476,14.0,19.0,18.0,16.0,23.0
라바131469,1.0,0.0,0.0,1.0,0.0
라바004617,0.0,0.0,0.0,0.0,0.0
라바169551,0.0,0.0,0.0,0.0,0.0
라바103445,2.0,3.0,0.0,3.0,2.0
라바188522,0.0,0.0,0.0,0.0,0.0
다바945453,1.0,3.0,0.0,0.0,1.0
다바978488,37.0,40.0,39.0,32.0,22.0
라바082579,2.0,0.0,0.0,0.0,0.0
다바971358,0.0,0.0,0.0,0.0,0.0
다바874511,0.0,0.0,0.0,0.0,0.0
라바065613,0.0,0.0,0.0,0.0,0.0
다바995479,21.0,11.0,19.0,17.0,41.0
라바020383,0.0,0.0,0.0,0.0,0.0
다바999525,50.0,27.0,29.0,50.0,34.0
다바947445,1.0,8.0,1.0,1.0,0.0
다바940359,0.0,0.0,1.0,0.0,0.0
다바904500,0.0,0.0,0.0,1.0,0.0
라바016573,1.0,7.0,0.0,0.0,0.0
다바981493,10.0,18.0,102.0,13.0,7.0
다바913593,3.0,4.0,0.0,0.0,3.0
라바065511,0.0,0.0,1.0,0.0,0.0
다바927384,0.0,0.0,3.0,0.0,0.0
다바947284,5.0,9.0,5.0,16.0,3.0
다바993467,23.0,23.0,14.0,21.0,27.0
라바089547,0.0,0.0,0.0,0.0,0.0
라바000377,0.0,1.0,2.0,0.0,0.0
다바881421,0.0,0.0,0.0,1.0,3.0
라바086571,0.0,0.0,0.0,0.0,0.0
다바887563,0.0,0.0,0.0,1.0,0.0
다바979516,10.0,9.0,19.0,6.0,6.0
라바047626,0.0,0.0,0.0,0.0,0.0
다바989513,6.0,6.0,5.0,1.0,2.0
다바980385,0.0,0.0,0.0,0.0,0.0
라바007457,28.0,29.0,31.0,32.0,16.0
다바829498,0.0,0.0,0.0,0.0,0.0
다바954422,0.0,0.0,0.0,0.0,0.0
라바011485,7.0,3.0,11.0,9.0,9.0
라바006460,11.0,13.0,15.0,13.0,15.0
라바025306,0.0,0.0,0.0,0.0,0.0
다바962510,3.0,1.0,8.0,6.0,2.0
다바975520,2.0,8.0,5.0,4.0,3.0
라바016339,0.0,1.0,0.0,0.0,0.0
다바976459,19.0,16.0,16.0,29.0,21.0
라바001391,0.0,0.0,0.0,1.0,0.0
다바866483,0.0,0.0,0.0,2.0,0.0
다바943485,14.0,12.0,12.0,17.0,28.0
다바840497,0.0,2.0,0.0,1.0,3.0
다바994503,56.0,56.0,49.0,42.0,53.0
다바932612,0.0,0.0,0.0,0.0,0.0
다바991524,74.0,65.0,77.0,81.0,72.0
다바919439,0.0,0.0,0.0,0.0,0.0
다바994487,7.0,14.0,9.0,15.0,16.0
라바051421,0.0,0.0,0.0,0.0,0.0
다바887498,0.0,0.0,0.0,0.0,0.0
라바000607,0.0,0.0,0.0,0.0,0.0
다바999449,0.0,6.0,8.0,8.0,8.0
다바842498,0.0,1.0,0.0,0.0,0.0
다바971500,34.0,37.0,39.0,28.0,77.0
라바028375,0.0,2.0,0.0,0.0,1.0
다바914295,1.0,0.0,0.0,1.0,0.0
다바924546,0.0,0.0,0.0,0.0,0.0
다바963499,56.0,43.0,30.0,21.0,29.0
다바928599,0.0,0.0,0.0,0.0,0.0
다바999460,6.0,41.0,32.0,30.0,26.0
다바985469,15.0,10.0,16.0,14.0,19.0
다바984517,14.0,16.0,21.0,14.0,10.0
라바028604,0.0,0.0,0.0,0.0,2.0
다바980555,1.0,0.0,1.0,0.0,0.0
다바980448,3.0,4.0,0.0,5.0,3.0
다바965572,0.0,0.0,0.0,0.0,0.0
다바974468,32.0,30.0,28.0,29.0,39.0
다바974483,1.0,1.0,2.0,4.0,2.0
다바994556,0.0,3.0,0.0,3.0,1.0
라바071422,0.0,0.0,0.0,0.0,1.0
다바937482,750.0,1113.0,1310.0,880.0,831.0
다바939467,3.0,9.0,2.0,29.0,26.0
다바955489,7.0,1.0,2.0,10.0,2.0
라바039375,0.0,0.0,0.0,0.0,0.0
다바997529,9.0,1.0,6.0,9.0,2.0
다바874480,1.0,2.0,2.0,0.0,1.0
다바878445,0.0,0.0,1.0,1.0,2.0
라바057560,0.0,0.0,3.0,0.0,0.0
라바053404,0.0,0.0,0.0,0.0,0.0
다바860511,0.0,0.0,0.0,0.0,0.0
라바042623,0.0,0.0,1.0,0.0,0.0
다바964628,0.0,0.0,0.0,1.0,0.0
다바992458,30.0,31.0,29.0,21.0,27.0
라바031569,0.0,2.0,1.0,5.0,5.0
라바024344,0.0,0.0,0.0,0.0,0.0
라바055596,0.0,0.0,0.0,0.0,0.0
다바972501,11.0,15.0,13.0,24.0,6.0
다바893524,0.0,0.0,0.0,0.0,0.0
라바000480,8.0,9.0,17.0,6.0,6.0
다바994491,9.0,6.0,5.0,7.0,4.0
라바011420,2.0,1.0,2.0,4.0,1.0
라바077426,2.0,0.0,0.0,0.0,0.0
라바093467,0.0,0.0,0.0,0.0,3.0
라바056392,0.0,0.0,0.0,4.0,0.0
라바020367,0.0,0.0,0.0,0.0,0.0
다바844458,15.0,19.0,16.0,16.0,13.0
다바913450,0.0,0.0,0.0,0.0,1.0
라바053394,0.0,0.0,0.0,0.0,0.0
다바980398,0.0,3.0,1.0,0.0,3.0
다바978452,3.0,2.0,0.0,1.0,0.0
다바975522,1.0,0.0,2.0,1.0,0.0
다바914300,0.0,0.0,1.0,0.0,0.0
라바026356,0.0,0.0,0.0,0.0,0.0
다바909428,0.0,0.0,0.0,0.0,0.0
라바104549,0.0,0.0,0.0,0.0,1.0
다바941556,1.0,2.0,1.0,4.0,2.0
다바896526,1.0,1.0,0.0,1.0,2.0
라바024599,0.0,0.0,0.0,0.0,0.0
다바846499,0.0,0.0,0.0,0.0,0.0
라바172519,0.0,2.0,0.0,0.0,1.0
다바953401,0.0,0.0,0.0,0.0,0.0
다바938491,27.0,45.0,29.0,33.0,38.0
다바864510,0.0,0.0,0.0,0.0,0.0
라바161509,0.0,0.0,0.0,1.0,0.0
다바894524,1.0,1.0,0.0,0.0,0.0
라바217441,0.0,0.0,0.0,0.0,0.0
라바021377,0.0,2.0,0.0,0.0,0.0
다바921324,1.0,3.0,1.0,2.0,0.0
다바841457,8.0,15.0,13.0,14.0,17.0
다바935472,39.0,57.0,44.0,40.0,43.0
라바036565,2.0,0.0,5.0,4.0,1.0
다바972440,4.0,4.0,1.0,2.0,5.0
라바041597,1.0,0.0,1.0,0.0,1.0
라바185534,0.0,0.0,1.0,0.0,2.0
다바976536,0.0,0.0,0.0,0.0,0.0
라바000513,7.0,6.0,8.0,7.0,8.0
라바016376,0.0,0.0,0.0,0.0,0.0
다바972616,0.0,0.0,0.0,1.0,3.0
다바924486,0.0,0.0,0.0,3.0,0.0
라바008562,1.0,1.0,2.0,0.0,0.0
다바954514,0.0,0.0,0.0,0.0,0.0
다바992492,11.0,12.0,10.0,9.0,10.0
다바982483,6.0,6.0,6.0,8.0,1.0
다바936491,53.0,60.0,41.0,51.0,46.0
라바068507,0.0,0.0,0.0,0.0,0.0
다바966609,1.0,1.0,0.0,1.0,0.0
다바836572,0.0,0.0,0.0,1.0,0.0
라바067421,1.0,5.0,4.0,2.0,5.0
다바981511,23.0,12.0,15.0,6.0,18.0
라바057634,0.0,0.0,0.0,1.0,0.0
다바965609,0.0,0.0,2.0,3.0,1.0
다바839433,0.0,0.0,0.0,2.0,0.0
다바996451,0.0,0.0,0.0,0.0,0.0
다바994505,36.0,28.0,12.0,9.0,15.0
라바023534,0.0,1.0,0.0,0.0,1.0
라바014545,1.0,0.0,0.0,0.0,0.0
라바094517,0.0,0.0,3.0,1.0,6.0
다바933424,0.0,0.0,4.0,3.0,0.0
다바942585,5.0,8.0,6.0,4.0,20.0
다바935325,2.0,0.0,0.0,2.0,0.0
라바039559,0.0,0.0,0.0,0.0,1.0
다바940469,14.0,30.0,20.0,39.0,33.0
라바034399,0.0,0.0,1.0,0.0,0.0
다바984559,1.0,0.0,0.0,0.0,0.0
다바931300,0.0,1.0,2.0,0.0,0.0
다바865599,0.0,0.0,0.0,2.0,0.0
다바918322,0.0,0.0,0.0,0.0,0.0
다바861550,0.0,1.0,0.0,0.0,0.0
라바059588,0.0,0.0,0.0,0.0,0.0
다바887521,1.0,0.0,1.0,1.0,2.0
다바846585,1.0,0.0,0.0,0.0,0.0
라바111547,0.0,0.0,0.0,0.0,0.0
다바994524,21.0,22.0,29.0,27.0,41.0
라바018361,0.0,0.0,0.0,0.0,0.0
다바905501,0.0,3.0,1.0,2.0,1.0
다바955472,0.0,3.0,5.0,6.0,7.0
다바872470,10.0,7.0,7.0,3.0,9.0
다바945481,15.0,4.0,19.0,25.0,19.0
라바055404,4.0,0.0,0.0,0.0,0.0
다바990504,92.0,76.0,57.0,77.0,157.0
라바129532,0.0,0.0,0.0,2.0,0.0
다바931420,0.0,0.0,0.0,0.0,0.0
다바993459,61.0,52.0,46.0,57.0,51.0
다바981466,72.0,67.0,50.0,68.0,81.0
라바155515,0.0,0.0,0.0,0.0,0.0
다바920395,0.0,0.0,2.0,0.0,0.0
라바026345,0.0,0.0,0.0,2.0,0.0
다바919440,0.0,0.0,0.0,0.0,0.0
라바032478,2.0,1.0,2.0,3.0,9.0
라바029352,0.0,0.0,0.0,0.0,1.0
다바865600,0.0,0.0,1.0,0.0,1.0
다바984620,0.0,3.0,2.0,2.0,1.0
라바093472,0.0,0.0,0.0,0.0,0.0
다바983464,17.0,49.0,28.0,30.0,43.0
다바896458,0.0,0.0,0.0,0.0,0.0
다바986413,0.0,0.0,0.0,1.0,0.0
다바986487,62.0,96.0,63.0,74.0,105.0
다바939383,0.0,1.0,2.0,0.0,0.0
라바096473,0.0,0.0,0.0,0.0,0.0
다바992472,2.0,5.0,5.0,4.0,4.0
다바905532,1.0,0.0,1.0,0.0,0.0
라바005438,5.0,0.0,2.0,4.0,10.0
라바053509,0.0,0.0,0.0,0.0,0.0
라바005404,3.0,0.0,3.0,1.0,2.0
다바981446,1.0,0.0,0.0,1.0,1.0
다바841482,14.0,7.0,5.0,7.0,3.0
다바992462,2.0,7.0,17.0,4.0,29.0
라바069430,0.0,0.0,0.0,0.0,0.0
다바979512,23.0,28.0,23.0,19.0,22.0
라바002535,0.0,1.0,0.0,0.0,0.0
다바991512,36.0,33.0,15.0,11.0,24.0
다바932485,3.0,14.0,16.0,5.0,12.0
라바130508,0.0,0.0,0.0,1.0,1.0
다바965427,0.0,2.0,0.0,0.0,0.0
다바972441,0.0,1.0,1.0,2.0,0.0
다바950601,0.0,2.0,0.0,1.0,0.0
다바956613,2.0,1.0,3.0,3.0,1.0
다바878426,0.0,2.0,0.0,0.0,0.0
라바024560,0.0,0.0,0.0,0.0,0.0
다바985443,6.0,2.0,3.0,1.0,0.0
다바867546,0.0,0.0,0.0,0.0,0.0
라바039580,2.0,1.0,1.0,0.0,0.0
다바983458,20.0,43.0,33.0,29.0,51.0
다바988473,15.0,28.0,24.0,21.0,23.0
다바992538,0.0,1.0,1.0,0.0,0.0
다바954525,0.0,0.0,0.0,1.0,0.0
다바967516,0.0,0.0,2.0,0.0,0.0
라바044403,1.0,0.0,0.0,0.0,0.0
다바945326,0.0,2.0,0.0,2.0,0.0
다바919424,0.0,0.0,0.0,0.0,0.0
다바868544,0.0,3.0,3.0,0.0,0.0
다바885472,18.0,15.0,28.0,26.0,35.0
라바133511,0.0,0.0,0.0,0.0,0.0
다바944525,0.0,0.0,0.0,0.0,1.0
다바911393,0.0,0.0,0.0,1.0,1.0
라바029362,0.0,0.0,0.0,0.0,0.0
다바960352,1.0,0.0,0.0,0.0,0.0
다바965379,0.0,0.0,0.0,0.0,0.0
라바008622,0.0,6.0,0.0,0.0,0.0
다바960422,0.0,3.0,0.0,0.0,0.0
다바846429,0.0,0.0,0.0,2.0,0.0
다바853474,0.0,0.0,0.0,0.0,1.0
라바116471,2.0,0.0,1.0,0.0,4.0
라바014517,0.0,1.0,2.0,0.0,0.0
다바922513,1.0,0.0,0.0,0.0,0.0
라바025575,0.0,0.0,0.0,0.0,0.0
다바945484,12.0,15.0,12.0,15.0,11.0
다바937480,36.0,43.0,26.0,58.0,42.0
다바998514,0.0,2.0,1.0,6.0,8.0
다바995477,58.0,76.0,85.0,30.0,44.0
다바914596,2.0,0.0,0.0,2.0,0.0
라바014492,1.0,1.0,0.0,0.0,0.0
라바190528,1.0,1.0,0.0,0.0,0.0
다바952461,3.0,5.0,1.0,3.0,4.0
다바829462,0.0,0.0,3.0,4.0,11.0
다바911446,0.0,0.0,0.0,0.0,0.0
다바975542,0.0,0.0,0.0,0.0,0.0
다바982557,10.0,3.0,12.0,15.0,6.0
다바839448,0.0,0.0,0.0,1.0,0.0
다바964589,1.0,2.0,0.0,0.0,0.0
